product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,product_improvement_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,product_improvement_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound,prod_improve_compound
BBQ - Test 14,6,The product has a great texture and mouth feel.  The BBQ flavor is almost about right. I think it is still slightly a bit strong especially for a bar.,4,The flavor is almost there but still a bit strong. It's hard to really saw how well it met my expectations since there is nothing like it on the market currently. I think that's what's making this hardered.,Tone down the BBQ flavor. It's a bit munch.,"['product', 'great', 'texture', 'mouth', 'feel', 'bbq', 'flavor', 'almost', 'right', 'think', 'still', 'slightly', 'bite', 'strong', 'especially', 'bar']","['flavor', 'almost', 'still', 'bite', 'strong', 'hard', 'really', 'saw', 'well', 'meet', 'expectation', 'since', 'nothing', 'like', 'market', 'currently', 'think', 'thats', 'whats', 'make', 'hardered']","['tone', 'bbq', 'flavor', 'bit', 'munch']",0.7976,0.6405,0
BBQ - Control (Texas BBQ),6,It's crunchy and savory,2,It's not bbq enough.  It gives a hint but not enough.,More bbq.  It seems like it has less of a punch of the bbq flavor than the others.,"['crunchy', 'savory']","['bbq', 'enough', 'give', 'hint', 'enough']","['bbq', 'seem', 'like', 'less', 'punch', 'bbq', 'flavor', 'others']",0,0,0.3612
BBQ - Test 13,8,I like the crunch and the bbq flavor that hits after a few seconds.,3,It tastes like the regular version at first and then the bbq kicks in.  I expected it to taste like bbq and it does,Stronger bbq flavor upfront,"['like', 'crunch', 'bbq', 'flavor', 'hit', 'second']","['taste', 'like', 'regular', 'version', 'first', 'bbq', 'kick', 'expect', 'taste', 'like', 'bbq']","['strong', 'bbq', 'flavor', 'upfront']",0.3612,0.6124,0.3818
BBQ - Test 14,8,I like the strong bbq flavor that's left as an aftertaste and I like the crunchiness.  It would be a good salty craving snack.,3,It's a crunchy bbq snack just like I expected.  I'm definitely left with the bbq flavor in my mouth as expected.,I like the bbq flavor but it takes time to kick in.  I would like more bbq flavor upfront,"['like', 'strong', 'bbq', 'flavor', 'thats', 'leave', 'aftertaste', 'like', 'crunchiness', 'would', 'good', 'salty', 'crave', 'snack']","['crunchy', 'bbq', 'snack', 'like', 'expect', 'im', 'definitely', 'leave', 'bbq', 'flavor', 'mouth', 'expect']","['like', 'bbq', 'flavor', 'take', 'time', 'kick', 'would', 'like', 'bbq', 'flavor', 'upfront']",0.8807,0.6369,0.6124
BBQ - Control (Texas BBQ),5,The crunchyness of the product i like and its not has an overly strong bbq flavor.,3,The texture and hardness of the granola bar is what I was expecting from a product like this .,The bar could be slightly harder or crunchier.,"['crunchyness', 'product', 'like', 'overly', 'strong', 'bbq', 'flavor']","['texture', 'hardness', 'granola', 'bar', 'expect', 'product', 'like']","['bar', 'could', 'slightly', 'harder', 'crunchier']",0.7003,0.3612,0
BBQ - Test 13,4,I like that it is crunchy and i enjoy the texture,2,It was crunchy and tasted like a granola bar,I think the bbq flavor is very strong and different to this type of texture and flavor,"['like', 'crunchy', 'enjoy', 'texture']","['crunchy', 'taste', 'like', 'granola', 'bar']","['think', 'bbq', 'flavor', 'strong', 'different', 'type', 'texture', 'flavor']",0.6908,0.3612,0.5563
BBQ - Test 14,5,I like the crunchyness of the product,2,The product met my expectation with the good texture of the granola bar.,The bbq flavor is off putting but not as strong on this sample,"['like', 'crunchyness', 'product']","['product', 'meet', 'expectation', 'good', 'texture', 'granola', 'bar']","['bbq', 'flavor', 'put', 'strong', 'sample']",0.3612,0.4404,-0.5504
BBQ - Control (Texas BBQ),3,it's a bit better than previous 2,2,it's still bad. Just doesn't taste good.,taste,"['bit', 'well', 'previous', '2']","['still', 'bad', 'doesnt', 'taste', 'good']",['taste'],0.4404,-0.7101,0
BBQ - Test 13,3,nothing,1,I love bbq potato chips. But this is simply bad.,"I honestly have no idea, It's just bad",['nothing'],"['love', 'bbq', 'potato', 'chip', 'simply', 'bad']","['honestly', 'idea', 'bad']",0,-0.4854,-0.4019
BBQ - Test 14,2,nothing,1,It tastes awfully,taste,['nothing'],"['taste', 'awfully']",['taste'],0,0,0
BBQ - Control (Texas BBQ),8,nice well rounded flavor. works well together,5,flavors worked very well together. just the right amount of all,maybe just a little sweeter,"['nice', 'well', 'rounded', 'flavor', 'work', 'well', 'together']","['flavor', 'work', 'well', 'together', 'right', 'amount']","['maybe', 'little', 'sweeter']",0.7184,0.3384,0
BBQ - Test 13,7,liked the smokey taste. it was different,4,usually people add too much smoke flavor and it tastes like a grill,"maybe a slight bit sweeter. sweet, salty and smoke go well together","['like', 'smokey', 'taste', 'different']","['usually', 'people', 'add', 'much', 'smoke', 'flavor', 'taste', 'like', 'grill']","['maybe', 'slight', 'bit', 'sweet', 'sweet', 'salty', 'smoke', 'go', 'well', 'together']",0.4215,0.3612,0.6249
BBQ - Test 14,7,nice smoke flavor. not as much as other one. maybe a little sweeter,4,sometimes getting the smoke flavor right is hard to do.,make a little sweeter,"['nice', 'smoke', 'flavor', 'much', 'one', 'maybe', 'little', 'sweeter']","['sometimes', 'get', 'smoke', 'flavor', 'right', 'hard']","['make', 'little', 'sweeter']",0.4215,-0.1027,0
BBQ - Control (Texas BBQ),8,"The flavor is extremely well balanced. It is a satisfying snack that has the right combination of textures as well. Crunchy granola bars are expected to be a little bit crumbly, but this product holds together well and only a little sunflower seed fell off when I took my next bite. This made me feel like I was eating a wholesome bar with more natural ingredients rather than a mystery mash.",4,"The bar is thicker than I expected for the nature valley two slim bars packed together. It makes it more substantial and filling. The flavors are introduced to the tasting palette in a desirable and satisfying way. After the first two snack tests, I wasn't sure I was going to love any of the three, but this bar leaves me wishing I had more.","This bar hits a lot of my snacking ideals, I don't think any changes would necessarily improve it. There could be variations of sweet barbecue, spicy barbecue and just this current version as the standard base barbecue.","['flavor', 'extremely', 'well', 'balanced', 'satisfy', 'snack', 'right', 'combination', 'texture', 'well', 'crunchy', 'granola', 'bar', 'expect', 'little', 'bit', 'crumbly', 'product', 'hold', 'together', 'well', 'little', 'sunflower', 'seed', 'fell', 'take', 'next', 'bite', 'make', 'feel', 'like', 'eat', 'wholesome', 'bar', 'natural', 'ingredient', 'rather', 'mystery', 'mash']","['bar', 'thicker', 'expect', 'nature', 'valley', 'two', 'slim', 'bar', 'pack', 'together', 'make', 'substantial', 'fill', 'flavor', 'introduce', 'taste', 'palette', 'desirable', 'satisfy', 'way', 'first', 'two', 'snack', 'test', 'wasnt', 'sure', 'go', 'love', 'three', 'bar', 'leave', 'wish']","['bar', 'hit', 'lot', 'snack', 'ideal', 'dont', 'think', 'change', 'would', 'necessarily', 'improve', 'could', 'variations', 'sweet', 'barbecue', 'spicy', 'barbecue', 'current', 'version', 'standard', 'base', 'barbecue']",0.9249,0.7694,0.7717
BBQ - Test 13,7,"It has a balanced, satisfying flavor. It isn't too hard on the teeth to chew and it reminds me of a more substantial barbecue chip. It would be more filling than a bag of chips but offers the same flavor, so would satiate an appetite more effectively.",3,"It has a barbecue flavor and the peanuts are visible. I was expecting a crunch and at first bite, this bar provided it.","My bar was quite crumbled despite being shipped in a box with packaging paper. Furthermore, the product fell apart more readily in my mouth when chewing. This isn't necessarily a bad thing, as flavor can be distributed more effectively, but it was unexpected for a crunchy granola bar. I'm more used to feeling the texture of the ingredients when chewing a bar and this felt more airy or buttery.","['balance', 'satisfy', 'flavor', 'isnt', 'hard', 'teeth', 'chew', 'remind', 'substantial', 'barbecue', 'chip', 'would', 'fill', 'bag', 'chip', 'offer', 'flavor', 'would', 'satiate', 'appetite', 'effectively']","['barbecue', 'flavor', 'peanut', 'visible', 'expect', 'crunch', 'first', 'bite', 'bar', 'provide']","['bar', 'quite', 'crumble', 'despite', 'ship', 'box', 'package', 'paper', 'furthermore', 'product', 'fell', 'apart', 'readily', 'mouth', 'chew', 'isnt', 'necessarily', 'bad', 'thing', 'flavor', 'distribute', 'effectively', 'unexpected', 'crunchy', 'granola', 'bar', 'im', 'use', 'feeling', 'texture', 'ingredient', 'chew', 'bar', 'felt', 'airy', 'buttery']",0.7896,0,0.633
BBQ - Test 14,4,The crunch factor is very satisfying. This product has a good texture and allows for an adequate amount of chewing. It stayed in a bar shaped and you can visually see the composition of nuts.,2,I was expecting more of a barbecue flavor. Onion and barbecue usually work in conjunction with one another but I'd describe this bar as more of a  smoky onion barbecue  than a  smoky barbecue with onion,"The onion flavor is overpowering. It is initially very strong and supersedes the anticipated barbecue flavor. While chewing, the bar begins to taste more like a peanut but the after flavor is again more like an onion.","['crunch', 'factor', 'satisfy', 'product', 'good', 'texture', 'allow', 'adequate', 'amount', 'chew', 'stay', 'bar', 'shape', 'visually', 'see', 'composition', 'nut']","['expect', 'barbecue', 'flavor', 'onion', 'barbecue', 'usually', 'work', 'conjunction', 'one', 'another', 'id', 'describe', 'bar', 'smoky', 'onion', 'barbecue', 'smoky', 'barbecue', 'onion']","['onion', 'flavor', 'overpower', 'initially', 'strong', 'supersedes', 'anticipate', 'barbecue', 'flavor', 'chew', 'bar', 'begin', 'taste', 'like', 'peanut', 'flavor', 'like', 'onion']",0.6997,0,0.7834
BBQ - Control (Texas BBQ),8,"While it is crunchy, does seem easier to chew.",4,"It was crunchy but not sure I'd describe it as hard.  Adding a savory flavor to a granola bar seems like a good idea, but one I hadn't tried before.",Slightly more BBQ flavoring.,"['crunchy', 'seem', 'easy', 'chew']","['crunchy', 'sure', 'id', 'describe', 'hard', 'add', 'savory', 'flavor', 'granola', 'bar', 'seem', 'like', 'good', 'idea', 'one', 'hadnt', 'try']","['slightly', 'bbq', 'flavoring']",0.4215,0.6196,0
BBQ - Test 13,7,"I like the BBQ flavor, but there is a weird after-taste that I cannot quite describe.",3,I wasn't really sure what to expect for a product like this.  I thought the flavoring was decent to my taste and so fit expectations.,A little stronger BBQ flavoring.,"['like', 'bbq', 'flavor', 'weird', 'aftertaste', 'quite', 'describe']","['wasnt', 'really', 'sure', 'expect', 'product', 'like', 'thought', 'flavor', 'decent', 'taste', 'fit', 'expectation']","['little', 'strong', 'bbq', 'flavoring']",-0.0772,0.5518,0.3197
BBQ - Test 14,8,I didn't have a weird after-taste.  I also liked the flavor of the BBQ.,4,I haven't had a BBQ bar before this taste test.  This was better than I expected.,A little less hard/crunchy.,"['didnt', 'weird', 'aftertaste', 'also', 'like', 'flavor', 'bbq']","['havent', 'bbq', 'bar', 'taste', 'test', 'well', 'expect']","['little', 'less', 'hardcrunchy']",0.5136,0.4404,0
BBQ - Control (Texas BBQ),4,The same thing as the others. I like the peanut butter taste and the crunchiness.,2,I just expected it to have more of an enjoyable flavor.,"Less peanut butter, more BBQ. Or more of a meaty taste.","['thing', 'others', 'like', 'peanut', 'butter', 'taste', 'crunchiness']","['expect', 'enjoyable', 'flavor']","['less', 'peanut', 'butter', 'bbq', 'meaty', 'taste']",0.3612,0.4877,0
BBQ - Test 13,4,The sunflower seeds.,2,I didn't really like the flavor. The peanut butter flavor was more smoky and I didn't like it.,Not so much of a peanut butter flavor and more of BBQ.,"['sunflower', 'seed']","['didnt', 'really', 'like', 'flavor', 'peanut', 'butter', 'flavor', 'smoky', 'didnt', 'like']","['much', 'peanut', 'butter', 'flavor', 'bbq']",0,-0.5652,0
BBQ - Test 14,4,I liked the crunch to it and also some of the peanut butter flavor.,2,I thought it would taste more like BBQ and not so much of peanut butter.,"More smoky taste, less peanut butter.","['like', 'crunch', 'also', 'peanut', 'butter', 'flavor']","['thought', 'would', 'taste', 'like', 'bbq', 'much', 'peanut', 'butter']","['smoky', 'taste', 'less', 'peanut', 'butter']",0.4215,0.4201,0
BBQ - Control (Texas BBQ),7,This sample was a lot crunchier than the second one I tried which is a lot better already. It also does not leave any after taste.,3,Th crunchiness of this bar was spot on and had a good consistency. It did not break off as easily and stayed solid through the whole tasting.,This sample did have a bit more seasoning as well but it wasnt overpowering.,"['sample', 'lot', 'crunchier', 'second', 'one', 'try', 'lot', 'well', 'already', 'also', 'leave', 'taste']","['th', 'crunchiness', 'bar', 'spot', 'good', 'consistency', 'break', 'easily', 'stay', 'solid', 'whole', 'tasting']","['sample', 'bit', 'season', 'well', 'wasn\x92t', 'overpower']",0.4675,0.7096,0.1734
BBQ - Test 13,8,This product is actually amazing and the flavor profile is definitely there. Im always looking for a healthier alternative to bbq chips or something crunchy with flavor and this hit the spot just right. The aftertaste wasnt as bad as I expected either.,4,I wasnt expecting the flavor to be as amazing as it was specially icoming from nature valley. It was very bbq flavored which I love.,I think the only thing I would change about it would be the amount of crunchiness because I made a bit of a mess.,"['product', 'actually', 'amazing', 'flavor', 'profile', 'definitely', 'i\x92m', 'always', 'look', 'healthier', 'alternative', 'bbq', 'chip', 'something', 'crunchy', 'flavor', 'hit', 'spot', 'right', 'aftertaste', 'wasn\x92t', 'bad', 'expect', 'either']","['wasn\x92t', 'expect', 'flavor', 'amaze', 'specially', 'icoming', 'nature', 'valley', 'bbq', 'flavor', 'love']","['think', 'thing', 'would', 'change', 'would', 'amount', 'crunchiness', 'make', 'bit', 'mess']",0.4588,0.8402,-0.3612
BBQ - Test 14,7,"I really like how it looks however, it looks as if it has too much seasoning if that makes sense.",3,Nature valley is usually this crunchy and stable as far as a bar goes but not in color of course. It also does look a lot more shinnier than regular bars.,I think will change the way the product looks on the outside and how its covered in kind of coloring.,"['really', 'like', 'look', 'however', 'look', 'much', '\x93seasoning\x94', 'make', 'sense']","['nature', 'valley', 'usually', 'crunchy', 'stable', 'far', 'bar', 'go', 'color', 'course', 'also', 'look', 'lot', 'shinnier', 'regular', 'bar']","['think', 'change', 'way', 'product', 'look', 'outside', 'it\x92s', 'cover', 'kind', 'coloring']",0.4201,0.1531,0
BBQ - Control (Texas BBQ),8,i like the flavors i can taste nuts sunflowers and the BBQ all at the same time so like that. that it taste different.,5,well never taste it anything like it. the taste is different and i liked how different but good it is.,I would make the BBQ less strong and also the hardiness a little more softers.,"['like', 'flavor', 'taste', 'nuts', 'sunflower', 'bbq', 'time', 'like', 'taste', 'different']","['well', 'never', 'taste', 'anything', 'like', 'taste', 'different', 'like', 'different', 'good']","['would', 'make', 'bbq', 'less', 'strong', 'also', 'hardiness', 'little', 'softers']",0.4019,0.7935,0.4601
BBQ - Test 13,8,I like that it taste like smokey BBQ and also because is really crunchy and also because i can taste the peanuts and sunflower,4,I think this product is unique and taste really good did not thought it was gonna be that good and different.,i would make the BBQ less strong,"['like', 'taste', 'like', 'smokey', 'bbq', 'also', 'really', 'crunchy', 'also', 'taste', 'peanut', 'sunflower']","['think', 'product', 'unique', 'taste', 'really', 'good', 'thought', 'gon', 'na', 'good', 'different']","['would', 'make', 'bbq', 'less', 'strong']",0.6124,0.7496,0.4601
BBQ - Test 14,8,like that it different and i like that it taste like BBq and also like that is crunchy,4,never taste something like this but it taste actually really good,i would just change the strong of the BBQ,"['like', 'different', 'like', 'taste', 'like', 'bbq', 'also', 'like', 'crunchy']","['never', 'taste', 'something', 'like', 'taste', 'actually', 'really', 'good']","['would', 'change', 'strong', 'bbq']",0.8402,0.5768,0.5106
BBQ - Control (Texas BBQ),9,I like the look and the crunch. I also enjoy the bbq taste with the peanuts. This is something new and different for me and I see myself always buying this.,5,Its new and different and the combination of bbq and peanuts together taste great.,I wouldnt change a thing.,"['like', 'look', 'crunch', 'also', 'enjoy', 'bbq', 'taste', 'peanut', 'something', 'new', 'different', 'see', 'always', 'buy']","['it\x92s', 'new', 'different', 'combination', 'bbq', 'peanuts', 'together', 'taste', 'great']","['wouldn\x92t', 'change', 'thing']",0.6908,0.6249,0
BBQ - Test 13,9,"I love the crunch, bbq taste. I love that it has sunflower seeds and peanuts giving my tastebuds a different experience.",5,This is new and different and because you read bbq you think it will not taste good with peanuts but that wasent the case,I wouldnt change anything about this product its perfect as is.,"['love', 'crunch', 'bbq', 'taste', 'love', 'sunflower', 'seed', 'peanuts', 'give', 'tastebuds', 'different', 'experience']","['new', 'different', 'read', 'bbq', 'think', 'taste', 'good', 'peanut', 'wasent', 'case']","['wouldn\x92t', 'change', 'anything', 'product', 'it\x92s', 'perfect']",0.8957,-0.1786,0.5719
BBQ - Test 14,9,Love the crunchiness of the bar. I love the bbq taste the peanuts and sunflower seeds,5,This is new and different I love the bbq taste on a bar,I wouldnt change a thing,"['love', 'crunchiness', 'bar', 'love', 'bbq', 'taste', 'peanut', 'sunflower', 'seed']","['new', 'different', 'love', 'bbq', 'taste', 'bar']","['wouldn\x92t', 'change', 'thing']",0.8555,0.6369,0
BBQ - Control (Texas BBQ),7,I like the taste of this one.  All flavors and ingredients are just right.,5,I like this one and it taste much better than the other two,"Nothing, it is just right","['like', 'taste', 'one', 'flavor', 'ingredient', 'right']","['like', 'one', 'taste', 'much', 'well', 'two']","['nothing', 'right']",0.3612,0.6597,0
BBQ - Test 13,2,I do not like anything about it.,1,"I do not like the taste, the appearance and the flavors a confusing.",I do not like the taste of the product and its just confusing to me to eat BBQ in a bar.,"['like', 'anything']","['like', 'taste', 'appearance', 'flavor', 'confuse']","['like', 'taste', 'product', 'confuse', 'eat', 'bbq', 'bar']",-0.2755,-0.4606,-0.4606
BBQ - Test 14,6,The bbq taste is not as strong as the other one and it taste pretty good.,4,My answer is based on tasting this sample and the other bbq one.  This product is a little better that the other one and I like that it has less bbq and salty flavor.,I am not sure what to change to make it better but I like it a little bit.,"['bbq', 'taste', 'strong', 'one', 'taste', 'pretty', 'good']","['answer', 'base', 'taste', 'sample', 'bbq', 'one', 'product', 'little', 'good', 'one', 'like', 'less', 'bbq', 'salty', 'flavor']","['sure', 'change', 'make', 'good', 'like', 'little', 'bit']",0.5264,0.6258,0.5746
BBQ - Control (Texas BBQ),9,the flavor and crunch,4,It has a nice crunch and just enough savory and sweetness,It has a little of an aftertaste,"['flavor', 'crunch']","['nice', 'crunch', 'enough', 'savory', 'sweetness']","['little', 'aftertaste']",0,0.7184,0
BBQ - Test 13,9,Its sweet yet savory and i love the crunch,5,I usually don't like sweet and savory things together but this is delicious,nothing,"['sweet', 'yet', 'savory', 'love', 'crunch']","['usually', 'dont', 'like', 'sweet', 'savory', 'thing', 'together', 'delicious']",['nothing'],0.802,0.5796,0
BBQ - Test 14,4,appearance and crunch,2,I expected it to not have an aftertaste,too much barbeque flavor and has an unpleasant aftertaste,"['appearance', 'crunch']","['expect', 'aftertaste']","['much', 'barbeque', 'flavor', 'unpleasant', 'aftertaste']",0,0,-0.4767
BBQ - Control (Texas BBQ),5,I like the crunch and that is is unique but it isn't memorable for me.,2,"It doesn't have enough of the smoky BBQ flavor, in my opinion",It is lacking in the smoky BBQ flavor,"['like', 'crunch', 'unique', 'isnt', 'memorable']","['doesnt', 'enough', 'smoky', 'bbq', 'flavor', 'opinion']","['lack', 'smoky', 'bbq', 'flavor']",0.1901,0,0
BBQ - Test 13,4,"I like the smokiness and the crunch. I like that I can see the ingredients used, too.",3,I was expecting it to be different and slightly unfulfilling from the smoky BBQ angle.,"It tastes like it's missing something. Almost like this is what I would eat if I really wanted BBQ chips but I'm trying to eat healthier. I'd eat it, but I wouldn't be happy about it and I'd probably end up eating the chips anyway. Lol.","['like', 'smokiness', 'crunch', 'like', 'see', 'ingredient', 'use']","['expect', 'different', 'slightly', 'unfulfilling', 'smoky', 'bbq', 'angle']","['taste', 'like', 'miss', 'something', 'almost', 'like', 'would', 'eat', 'really', 'wanted', 'bbq', 'chip', 'im', 'try', 'eat', 'healthy', 'id', 'eat', 'wouldnt', 'happy', 'id', 'probably', 'end', 'eat', 'chip', 'anyway', 'lol']",0.6124,0,0.1538
BBQ - Test 14,7,I like the salty/sweet combo. The BBQ flavor is present in a good way as well. Very satisfying.,5,"I was expecting it to be lackluster but this version is smoky, slightly sweet, savory, and the taste afterwards is good.",Can't think of anything I'd change; this one is good.,"['like', 'saltysweet', 'combo', 'bbq', 'flavor', 'present', 'good', 'way', 'well', 'satisfy']","['expect', 'lackluster', 'version', 'smoky', 'slightly', 'sweet', 'savory', 'taste', 'afterwards', 'good']","['cant', 'think', 'anything', 'id', 'change', 'one', 'good']",0.8687,0.8131,0.4404
BBQ - Control (Texas BBQ),5,Flavor was pretty good,3,Did not really know what to expect,Less crunchy,"['flavor', 'pretty', 'good']","['really', 'know', 'expect']","['less', 'crunchy']",0.7269,0,0
BBQ - Test 13,3,Crunchy with a slight BBQ taste,2,"Wasn't what I was expecting, had a very confusing taste",Make it sweeter,"['crunchy', 'slight', 'bbq', 'taste']","['wasnt', 'expect', 'confuse', 'taste']","['make', 'sweeter']",0,-0.2944,0
BBQ - Test 14,3,"Crunchy, good nutty flavor",3,I didn't really know what to expect although the BBQ flavor was not very strong.  Was more of a nutty flavor,Make the flavor stronger,"['crunchy', 'good', 'nutty', 'flavor']","['didnt', 'really', 'know', 'expect', 'although', 'bbq', 'flavor', 'strong', 'nutty', 'flavor']","['make', 'flavor', 'strong']",0.4404,-0.4439,0.3818
BBQ - Control (Texas BBQ),9,I love the savory taste. You taste a hint of barbeque and a very nutty flavor.,5,The flavor is amazing. You taste a hint of bbq and  a nutty flavor. It goes very well together.,I would just make it a little bit softer.,"['love', 'savory', 'taste', 'taste', 'hint', 'barbeque', 'nutty', 'flavor']","['flavor', 'amaze', 'taste', 'hint', 'bbq', 'nutty', 'flavor', 'go', 'well', 'together']","['would', 'make', 'little', 'bit', 'soft']",0.6369,0.7346,0
BBQ - Test 13,9,I love the flavors of barbeque and peanuts. They blend together nicely. It is also not too hard to bite into.,5,I love the crunchiness and the flavors. I love the barbeque and nutty flavors.  It is also not too hard to bite into.,I would just make this product a bit larger.,"['love', 'flavor', 'barbeque', 'peanut', 'blend', 'together', 'nicely', 'also', 'hard', 'bite']","['love', 'crunchiness', 'flavor', 'love', 'barbeque', 'nutty', 'flavor', 'also', 'hard', 'bite']","['would', 'make', 'product', 'bit', 'large']",0.8124,0.8656,0
BBQ - Test 14,9,I love the barbeque flavor. I love that you can see and taste the peanuts in bar.,5,"I thought the barbeque flavor was going to be really strong and overpowering, but it was a great smoky flavor. I wanted to keep eating the bar.",I would also make a softer version of this bar.,"['love', 'barbeque', 'flavor', 'love', 'see', 'taste', 'peanut', 'bar']","['think', 'barbeque', 'flavor', 'go', 'really', 'strong', 'overpower', 'great', 'smoky', 'flavor', 'want', 'keep', 'eating', 'bar']","['would', 'also', 'make', 'soft', 'version', 'bar']",0.8555,0.8379,0
BBQ - Control (Texas BBQ),2,"Very crunchy, slightly softer.  Good appearance.  Can see and taste more of the nuts in this one.",2,Not nearly enough flavor.  Kind of a flavorless bar.,Needs more flavor.,"['crunchy', 'slightly', 'softer', 'good', 'appearance', 'see', 'taste', 'nut', 'one']","['nearly', 'enough', 'flavor', 'kind', 'flavorless', 'bar']","['need', 'flavor']",0.015,0,0
BBQ - Test 13,8,"Good amount of flavor.  This is my favorite of the 3.  It may be the softest.  No residue on hands.  The flavor is not over-powering like the first one, and has more flavor than the second one.",4,It has a smoky BBQ taste.  You can taste the nuts as well.,"Needs a little bit more flavor, like 10-20 percent stronger.","['good', 'amount', 'flavor', 'favorite', '3', 'may', 'softest', 'residue', 'hand', 'flavor', 'overpower', 'like', 'first', 'one', 'flavor', 'second', 'one']","['smoky', 'bbq', 'taste', 'taste', 'nut', 'well']","['need', 'little', 'bit', 'flavor', 'like', '1020', 'percent', 'stronger']",0.3798,-0.0516,0.6573
BBQ - Test 14,4,"Very crunchy, strong flavor.",2,"It has the most flavor of the three bars, but perhaps too much.  The after taste is over-powering, and I am concerned about my breath now.",Strong after taste.  I would be looking for a mint or mouthwash after finishing it.,"['crunchy', 'strong', 'flavor']","['flavor', 'three', 'bar', 'perhaps', 'much', 'taste', 'overpower', 'concern', 'breath']","['strong', 'taste', 'would', 'look', 'mint', 'mouthwash', 'finishing']",0.5542,0,0.5106
BBQ - Control (Texas BBQ),7,I am a big bbq fan of practically everything and this has a distinct smoked bbq taste the aftertaste is very firm and constant,4,"i don't normally associate a nature valley crunchy snack/breakfast bar with bbq rather peanut butter, almonds, and granola. I thought the initial thought of a bbq bar was sort of gross, but it really blew away my very low expectations",nothing substantial comes to mind. maybe a darker color to which I associate bbq being,"['big', 'bbq', 'fan', 'practically', 'everything', 'distinct', 'smoke', 'bbq', 'taste', 'aftertaste', 'firm', 'constant']","['dont', 'normally', 'associate', 'nature', 'valley', 'crunchy', 'snackbreakfast', 'bar', 'bbq', 'rather', 'peanut', 'butter', 'almond', 'granola', 'think', 'initial', 'thought', 'bbq', 'bar', 'sort', 'gross', 'really', 'blow', 'away', 'low', 'expectation']","['nothing', 'substantial', 'come', 'mind', 'maybe', 'darker', 'color', 'associate', 'bbq']",0.3182,-0.647,-0.1511
BBQ - Test 13,7,The consistent aftertaste and texture,4,I don't normally put this combo together via bbq and a granola bar,nothing comes to mind,"['consistent', 'aftertaste', 'texture']","['dont', 'normally', 'put', 'combo', 'together', 'via', 'bbq', 'granola', 'bar']","['nothing', 'come', 'mind']",0,0,0
BBQ - Test 14,7,It leaves a similar after taste compared to a BBQ chip,4,i think of a breakfast bar and BBQ is not a flavor that I am used to with a NV bar,nothing comes to mind,"['leaf', 'similar', 'taste', 'compare', 'bbq', 'chip']","['think', 'breakfast', 'bar', 'bbq', 'flavor', 'use', 'nv', 'bar']","['nothing', 'come', 'mind']",0,0,0
BBQ - Control (Texas BBQ),9,Great sweet and salty taste.,5,Product  was the right balance between each flavor; wasn't too salty or too sweet. Didn't have any lingering aftertaste.,I wouldn't make any changes to this product.,"['great', 'sweet', 'salty', 'taste']","['product', 'right', 'balance', 'flavor', 'wasnt', 'salty', 'sweet', 'didnt', 'linger', 'aftertaste']","['wouldnt', 'make', 'change', 'product']",0.7964,0.4588,0
BBQ - Test 13,8,The first bite has a subtle BBQ flavor and the salty/savory flavor is released after chewing. There's a sweet aftertaste.,4,"I wasn't expecting the first bite to have such an enjoyable, subtle, BBQ flavor. I anticipated that it was going to be overwhelming and have a lingering aftertaste, however it did not.",I would use cashews instead of peanuts.,"['first', 'bite', 'subtle', 'bbq', 'flavor', 'saltysavory', 'flavor', 'release', 'chew', 'there', 'sweet', 'aftertaste']","['wasnt', 'expect', 'first', 'bite', 'enjoyable', 'subtle', 'bbq', 'flavor', 'anticipate', 'go', 'overwhelm', 'linger', 'aftertaste', 'however']","['would', 'use', 'cashew', 'instead', 'peanut']",0.4588,0.4404,0
BBQ - Test 14,2,I like the hint of BBQ flavor you taste after the initial bite.,2,"I was expecting a sweeter BBQ flavor, not something so close to tasting like charcoal. It was a burnt flavor to it.","The smokey taste, and the lingering aftertaste, are not appealing. I would enjoy the BBQ flavor without the smokiness. The bar tastes as if it's been burnt/spent too much time on the grill.","['like', 'hint', 'bbq', 'flavor', 'taste', 'initial', 'bite']","['expect', 'sweeter', 'bbq', 'flavor', 'something', 'close', 'tasting', 'like', 'charcoal', 'burnt', 'flavor']","['smokey', 'taste', 'linger', 'aftertaste', 'appeal', 'would', 'enjoy', 'bbq', 'flavor', 'without', 'smokiness', 'bar', 'taste', 'burntspent', 'much', 'time', 'grill']",0.3612,0.3612,-0.3875
BBQ - Control (Texas BBQ),9,"It's very flavorful. Much more savory than sweet. The crunch and texture is unexpected because the bar is on the thinner side, but I really like it",5,It packs serious flavor in a small bite. Looking at it at first I really didn't expect it,Maybe make it a touch more salty.,"['flavorful', 'much', 'savory', 'sweet', 'crunch', 'texture', 'unexpected', 'bar', 'thinner', 'side', 'really', 'like']","['pack', 'serious', 'flavor', 'small', 'bite', 'look', 'first', 'really', 'didnt', 'expect']","['maybe', 'make', 'touch', 'salty']",0.7023,-0.0772,0
