product_code,like_compound,liking_free_text_no_punc_tokenized_no_stop_lemm,question
Chobani Original,0,['nothing'],Meets Expectation
Chobani Smooth,-0.6298,"['well', 'chobani', 'assume', 'greek', 'yogurt', 'thick', 'like', 'greek', 'yogurt', 'throw', 'would', 'also', 'like', 'know', 'sugar', 'reduce', 'sugar', 'substitute', 'see', 'package', 'say', 'natural', 'non', 'gmo', 'id', 'still', 'like', 'see', 'ingredient', 'package', 'also', 'say', 'real', 'fruit', 'id', 'like', 'see', 'fruit']",Meets Expectation
Chobani Original,-0.296,"['aftertaste', 'usually', 'accompany', 'lot', 'greek', 'yogurt']",Meets Expectation
Chobani Smooth,0,"['taste', 'greek', 'concentrate', 'thicker', 'expect', 'assume', 'would', 'french', 'yoplait', 'thiner', 'style']",Meets Expectation
Chobani Original,0.2732,"['less', 'yogurt', 'size', 'container', 'reality', 'false', 'advertising', 'make', 'wonder', 'quality', 'downsize', 'well']",Meets Expectation
Chobani Smooth,0.7579,"['like', 'product', 'package', 'except', 'seem', 'like', 'product', 'half', 'full', 'also', 'like', 'less', 'strawberry', 'piece']",Meets Expectation
Chobani Original,0,['nothing'],Meets Expectation
Chobani Smooth,0.8817,"['look', 'bit', 'like', 'generic', 'brand', 'design', '2x', 'protein', 'less', 'sugar', 'nice', 'surprise', 'non', 'gmo', 'great', 'plus']",Meets Expectation
Chobani Original,0,['nothing'],Meets Expectation
Chobani Smooth,0,"['product', 'neither', 'smooth', 'mild', 'container', 'label', 'state']",Meets Expectation
Chobani Original,-0.1419,"['dint', 'think', 'would', 'like', 'taste', 'much']",Meets Expectation
Chobani Smooth,0.3612,"['eaten', 'quite', 'bit', 'chobani', 'greek', 'yogurt', 'past', 'expect', 'smooth', 'even', 'though', 'package', 'expressly', 'state', 'smooth', 'like', 'classic', 'yogurt']",Meets Expectation
Chobani Original,0,['nan'],Meets Expectation
Chobani Smooth,0,"['thought', 'would', 'thicker']",Meets Expectation
Chobani Original,0,"['mix', 'eat', 'fruit', 'bottom']",Meets Expectation
Chobani Smooth,0,"['thought', 'would', 'sweeter']",Meets Expectation
Chobani Original,0,"['little', 'thinner', 'greek', 'yogurt']",Meets Expectation
Chobani Smooth,0.4404,"['tangyness', 'unexpected', 'good', 'way', 'package', 'set', 'expectation', 'inside']",Meets Expectation
Chobani Original,0.4019,"['didnt', 'realize', 'nongmo', 'product', 'dont', 'think', 'ive', 'heard', 'evaporate', 'cane', 'sugar', 'ingredient', 'appreciate', 'slogan', 'punctuate', 'correctly', 'period', 'inside', 'quotation', 'mark', 'believe', 'fruit', 'come', 'piece', 'flavor']",Meets Expectation
Chobani Smooth,0.6597,"['think', 'good', 'job', 'represent', 'much', 'smoother', 'usually', 'purchase', 'like', 'big', 'state', 'smooth']",Meets Expectation
Chobani Original,0,"['find', 'anything', 'unexpected']",Meets Expectation
Chobani Smooth,0,"['overpower', 'taste', 'sour', 'milk', 'really', 'could', 'get', 'past']",Meets Expectation
Chobani Original,0.3612,"['like', 'picture', 'strawberry', 'tell', 'inside']",Meets Expectation
Chobani Smooth,0,"['somewhat', 'expect', 'piece', 'fruit', 'even', 'small', 'piece']",Meets Expectation
Chobani Original,0,"['think', 'maybe', 'sugar', 'content', 'also', 'first', 'open', 'container', 'separation', 'appeal']",Meets Expectation
Chobani Smooth,0,"['contain', '2x', 'protein']",Meets Expectation
Chobani Original,0.8172,"['impressed', '15', 'calcium', 'great', 'taste', '0', 'milk', 'fat']",Meets Expectation
Chobani Smooth,0.4404,"['yogurt', 'aftertaste', 'often', 'common', 'lowfat', 'product', 'package', 'show', 'word', 'lowfat', 'well', 'may', 'make', 'difference', 'many']",Meets Expectation
Chobani Original,0.4404,"['think', 'package', 'good', 'job', 'represent', 'yogurt']",Meets Expectation
Chobani Smooth,0.802,"['packaging', 'represent', 'product', 'well', 'found', 'unexpected', 'sweetness', 'good', 'fruit', 'flavor', 'wasnt', 'overpower', 'sugar', 'taste']",Meets Expectation
Chobani Original,0,"['unexpected', 'amoun', 'small', 'amount', 'yougart', 'actual', 'container', 'would', 'change', 'nothing', 'packaging']",Meets Expectation
Chobani Smooth,0,"['smooth', 'yogurt']",Meets Expectation
Chobani Original,-0.2755,"['nothing', 'unexpected', 'like', 'info', 'packaging']",Meets Expectation
Chobani Smooth,0,"['real', 'chunk', 'strawberry']",Meets Expectation
Chobani Original,0.4404,"['flavor', 'well', 'remember', 'chobani', 'taste', 'past']",Meets Expectation
Chobani Smooth,0.5406,"['expect', 'great', 'flavor', 'really', 'stood', 'package', 'really', 'hard', 'read', 'ingredient', 'nutrition', 'label', 'res', 'white', 'write', 'really', 'hard', 'see']",Meets Expectation
Chobani Original,0,"['would', 'change', 'price', 'seem', 'high', 'one']",Meets Expectation
Chobani Smooth,0.3612,"['like', 'yogurt', 'inside', 'present', 'outside', 'package']",Meets Expectation
Chobani Original,0.3384,"['nothing', 'think', 'package', 'describes', 'product', 'well']",Meets Expectation
Chobani Smooth,0,['nothing'],Meets Expectation
Chobani Original,-0.3071,"['think', 'fruit', 'bottom', 'might', 'bad', 'taste', 'texture', 'apprehensive', 'first', 'wastn']",Meets Expectation
Chobani Smooth,0,"['smooth', 'creamy']",Meets Expectation
Chobani Original,0,"['everything', 'expect']",Meets Expectation
Chobani Smooth,0.296,"['label', 'ok']",Meets Expectation
Chobani Original,0.4404,"['make', 'strawberry', 'flavor', 'well', 'add', 'bottom', 'cup']",Meets Expectation
Chobani Smooth,0,['nan'],Meets Expectation
Chobani Original,0,['nan'],Meets Expectation
Chobani Smooth,0,"['sweeter', 'expect']",Meets Expectation
Chobani Original,0,['nan'],Meets Expectation
Chobani Smooth,0,"['thought', 'would', 'thicker', 'texture']",Meets Expectation
Chobani Original,0.2023,"['packaging', 'seem', 'fine']",Meets Expectation
Chobani Smooth,0.3612,"['packaging', 'look', 'cheap', 'look', 'exactly', 'like', 'anything', 'target', 'brand', 'barely', 'see', 'chobani', 'logo', 'would', 'pick', 'yogurt', 'store', 'would', 'probably', 'walk', 'think', 'target', 'start', 'yogurt']",Meets Expectation
Chobani Original,0,"['sweetnesssweeter', 'expect']",Meets Expectation
Chobani Smooth,0,[],Meets Expectation
Chobani Original,0.7003,"['package', 'seem', 'pretty', 'clear', 'expect']",Meets Expectation
Chobani Smooth,0,"['taste', 'flavor', 'fruit']",Meets Expectation
Chobani Original,0.4404,"['didnt', 'realize', 'much', 'protein', 'product', 'thats', 'good', 'thing', 'stand', 'package']",Meets Expectation
Chobani Smooth,0.6249,"['smoother', 'thick', 'yogurt', 'great', 'flavor']",Meets Expectation
Chobani Original,0.4215,"['fruity', 'would', 'like']",Meets Expectation
Chobani Smooth,0.95,"['like', 'package', 'colorful', 'playful', 'information', 'however', 'word', 'classic', 'doesnt', 'resonate', 'ive', 'see', 'company', 'use', 'original', 'classic', 'wasnt', 'user', 'original', 'recipe', 'dont', 'care', 'perhaps', 'natural', 'would', 'good', 'option', 'maybe', 'coin', 'term', 'make', 'greeklike', 'like', 'package', 'colorful', 'doesnt', 'match', 'almost', 'white', 'product', 'inside', 'think', 'thats', 'ok', 'saw', 'someone', 'hold', 'bright', 'red', 'container', 'would', 'want', 'know', 'eat', 'mention', 'like', 'product']",Meets Expectation
Chobani Smooth,-0.5256,"['fake', 'flavor', 'taste', 'almost', 'chemical']",Meets Expectation
Chobani Smooth,0,"['flavor', 'unexpected']",Meets Expectation
Chobani Smooth,-0.34,"['fill', 'replace', 'word', 'smooth', 'top', 'package', 'low', 'fat', 'classic', 'yogurt', 'make', 'low', 'fat', 'visible']",Meets Expectation
Chobani Smooth,0,[],Meets Expectation
Chobani Smooth,0.3724,"['nothing', 'wrong', 'packaging']",Meets Expectation
Chobani Smooth,-0.296,"['nutrition', 'label']",Meets Expectation
Chobani Smooth,0,"['need', 'real', 'fruit']",Meets Expectation
Chobani Smooth,0,['nothing'],Meets Expectation
Chobani Smooth,0.5023,"['lowfat', 'taste', 'like', 'regular', 'yogurt']",Meets Expectation
Chobani Smooth,0,"['much', 'flavor', 'little', 'runny']",Meets Expectation
Chobani Smooth,0,"['add', 'nutrition', 'information']",Meets Expectation
Chobani Smooth,-0.1877,"['sweet', 'enough', 'guess', 'package', 'say', 'less', 'sugar', 'didnt', 'realize', 'would', 'impact', 'taste', 'much']",Meets Expectation
Chobani Smooth,0,"['something', 'make', 'aware', 'isnt', 'greek', 'yogurt']",Meets Expectation
Chobani Smooth,0.6124,"['package', 'could', 'say', 'something', 'like', 'like', 'yogurt', 'smooth']",Meets Expectation
Chobani Smooth,0,"['look', 'consistency', 'yogurt']",Meets Expectation
Chobani Smooth,0,"['tartness', 'way', 'classic', 'probably', 'conveys', 'outright']",Meets Expectation
Chobani Smooth,0,['nan'],Meets Expectation
Chobani Smooth,0,"['smooth', 'yogurt']",Meets Expectation
Chobani Smooth,0,['na'],Meets Expectation
Chobani Smooth,0,['na'],Meets Expectation
Chobani Smooth,0,['nothing'],Meets Expectation
Chobani Smooth,-0.2732,"['first', 'think', 'would', 'plain', 'low', 'fat', 'design', 'remind', 'greek', 'yogurt']",Meets Expectation
Chobani Smooth,0,['nothing'],Meets Expectation
Chobani Smooth,0.4215,"['like', 'little', 'thought', 'would']",Meets Expectation
Chobani Smooth,0.5574,"['sour', 'tart', 'rich', 'flavor']",Meets Expectation
Chobani Smooth,0,"['smooth', 'creamy']",Meets Expectation
Chobani Smooth,-0.7792,"['think', 'think', 'would', 'standard', 'yogurt', 'taste', 'even', 'tho', 'make', 'chobani', 'dont', 'mind', 'greek', 'yogurt', 'person', 'like', 'might', 'disappoint', 'flavor']",Meets Expectation
Chobani Smooth,0.4404,"['good', 'taste', 'less', 'sugar', 'product']",Meets Expectation
Chobani Smooth,0.4404,"['name', 'expect', 'really', 'smooth', 'good', 'texture', 'really', 'didnt']",Meets Expectation
Chobani Smooth,-0.395,"['package', 'say', 'classic', 'yogurt', 'doesnt', 'taste', 'like', 'classic', 'yogurt', 'would', 'consider', 'yoplait', 'dannon', 'etc']",Meets Expectation
Chobani Smooth,0,"['think', 'packaging', 'appeal']",Meets Expectation
Chobani Smooth,0,"['include', 'greek', 'yougurt', 'label', 'info']",Meets Expectation
Chobani Smooth,0.6908,"['think', 'packaging', 'good', 'would', 'like', 'see', 'ingredient', 'list', 'cover', 'toss']",Meets Expectation
Chobani Smooth,0,"['regular', 'yogurt', 'greek', 'yogurt']",Meets Expectation
Chobani Smooth,0,"['package', 'say', 'smooth', 'thick', 'classic', 'smooth']",Meets Expectation
Chobani Smooth,0.4939,"['container', '12', 'full', 'first', 'surprise', 'second', 'surprise', 'fact', 'yogurt', 'gray', 'color', 'add', 'strawberry', 'would', 'make', 'pink', 'dont', 'use', 'food', 'coloring', 'add', 'couple', 'strawberry', 'suddenly', 'pink']",Meets Expectation
Chobani Smooth,0,"['nothing', 'unexpected', 'might', 'add', 'little', 'sweetner', 'bit', 'tart']",Meets Expectation
Chobani Smooth,0,"['much', 'red', 'outside', 'container']",Meets Expectation
Chobani Smooth,-0.296,['change'],Meets Expectation
Chobani Smooth,0.2714,"['smooth', 'creamy', 'right', 'package', 'truthful', 'change', 'need']",Meets Expectation
Chobani Smooth,0,"['wouldnt', 'change', 'anything', 'packaging']",Meets Expectation
Chobani Smooth,-0.2023,"['packaging', 'state', 'full', 'real', 'fruit', 'none', 'visible', 'also', 'surprise', 'see', 'package', 'contain', '2', 'serving', 'seem', 'mislead', 'would', 'likely', 'eat']",Meets Expectation
Chobani Smooth,0.2716,"['flavor', 'quite', 'good', 'low', 'fat', 'product']",Meets Expectation
Chobani Smooth,0,"['little', 'thin', 'yogurt']",Meets Expectation
Chobani Smooth,0,"['flavor', 'sour', 'tasting']",Meets Expectation
Chobani Smooth,0,"['expect', 'tart', 'wasnt']",Meets Expectation
Chobani Smooth,0.4404,"['good', 'packaging']",Meets Expectation
Chobani Smooth,0,"['wouldnt', 'change', 'anything', 'packaging']",Meets Expectation
Chobani Smooth,0,"['thought', 'would', 'chunk', 'strawberry']",Meets Expectation
Chobani Smooth,0.8225,"['flavor', 'much', 'well', 'expect', 'taste', 'packaging', 'nice', 'bright', 'color']",Meets Expectation
Chobani Smooth,0.7764,"['think', 'package', 'good', 'honest', 'represent', 'exactly', 'inside']",Meets Expectation
Chobani Smooth,0.6794,"['expect', 'taste', 'like', 'greek', 'yogurt', 'container', 'taste', 'like', 'regular', 'yogurt', 'prefer']",Meets Expectation
Chobani Smooth,0,"['much', 'fruit']",Meets Expectation
Chobani Original,0,['thicker'],Product Improvement
Chobani Smooth,0,"['could', 'use', 'little', 'extra', 'flavor']",Product Improvement
Chobani Original,0.5413,"['really', 'enjoy', 'yogurt', 'would', 'keep']",Product Improvement
Chobani Smooth,0,"['large', 'container', 'variety']",Product Improvement
Chobani Original,-0.0418,"['im', 'real', 'fan', 'fruit', 'u', 'stir', 'product', 'tore', 'cover', 'top', 'product', 'bit', 'watery', 'look', 'little', 'separated']",Product Improvement
Chobani Smooth,0.7424,"['sweet', 'way', 'sweet', 'would', 'buy', '19', 'gram', 'sugar', 'feel', 'though', 'protein', 'content', 'meet', 'exceed', 'amount', 'sugar', 'container', 'yogurt']",Product Improvement
Chobani Original,0,"['would', 'prefer', 'slightly', 'fruit']",Product Improvement
Chobani Smooth,0,"['watery', 'open', 'lid', 'water', 'splash', 'even', 'mixed', 'together', 'runny']",Product Improvement
Chobani Original,0,"['eliminate', 'least', 'reduce', 'added', 'cane', 'sugar']",Product Improvement
Chobani Smooth,0.3612,"['would', 'like', 'little', 'thicker', 'also', 'morelarger', 'fruit', 'piece', 'since', 'packaging', 'say', 'real', 'fruit', 'didnt', 'much', 'fruit', 'sample']",Product Improvement
Chobani Original,0,"['nothing', 'come', 'mind']",Product Improvement
Chobani Smooth,0,"['would', 'make', 'thicker', 'watery']",Product Improvement
Chobani Original,-0.4228,"['almost', 'tartyogurty', 'taste', 'woudl', 'prefer', 'mix', 'yogurt', 'first', 'view', 'product', 'somewhat', 'unpleasant', 'watery', 'chunky']",Product Improvement
Chobani Smooth,0.4033,"['subtract', 'bit', 'fruit', 'product', 'since', 'dont', 'feel', 'many', 'fruit', 'bite', 'anyways', 'make', 'less', 'sweet', 'place', 'nutrition', 'fact', 'container']",Product Improvement
Chobani Original,0.3818,"['color', 'brighter', 'pink', 'sweeter']",Product Improvement
Chobani Smooth,-0.5122,"['nothing', 'like', 'low', 'sugar', 'yogurt', 'protein']",Product Improvement
Chobani Original,0.5719,['perfect'],Product Improvement
Chobani Smooth,0,"['need', 'mix', 'get', 'product', 'distribute', 'evenly']",Product Improvement
Chobani Original,0.6369,"['would', 'love', 'see', 'sugar', '12', 'gram']",Product Improvement
Chobani Smooth,0,['protein'],Product Improvement
Chobani Original,0.7089,"['personally', 'didnt', 'think', 'product', 'pleasant', 'look', 'upon', 'stir', 'didnt', 'think', 'fruit', 'look', 'fresh', 'tasty']",Product Improvement
Chobani Smooth,0,"['viscous', 'less', 'runny']",Product Improvement
Chobani Original,0,"['strawberry', 'chunk']",Product Improvement
Chobani Smooth,0,"['sour', 'thin', 'runny', 'remind', 'little', 'one', 'drinkable', 'yogurt', 'small', 'child']",Product Improvement
Chobani Original,-0.1027,"['strawberry', 'piece', 'seem', 'limpoverly', 'ripemushy', 'texture', 'hard', 'tell', 'yogurt', 'strawberry', 'flavoralmost', 'gelatin', 'taste']",Product Improvement
Chobani Smooth,-0.5288,"['make', 'sweet', 'add', 'fruit']",Product Improvement
Chobani Original,0,"['little', 'sour', 'tasting']",Product Improvement
Chobani Smooth,0.3392,"['slight', 'tanginess', 'bitterness', 'sweet', 'finish', 'need', 'sweetness', 'noticeable', 'tang']",Product Improvement
Chobani Original,-0.3182,"['less', 'amount', 'strawberry', 'mix', 'seed', 'bother', 'little']",Product Improvement
Chobani Smooth,0,"['little', 'thicker']",Product Improvement
Chobani Original,0.3612,"['size', 'container', 'fit', 'amount', 'yogurt', 'either', 'make', 'cup', 'small', 'put', 'yogurt', 'cup']",Product Improvement
Chobani Smooth,0.3612,"['make', 'filling', 'would', 'eat', 'feel', 'like', 'half', 'full']",Product Improvement
Chobani Original,0,"['little', 'sweeter', 'strawberry', 'chunk', 'bottom', 'cup']",Product Improvement
Chobani Smooth,-0.2755,"['small', 'fruit', 'chunk', 'like', 'especially', 'market', 'smooth']",Product Improvement
Chobani Original,-0.4767,"['would', 'change', 'texture', 'strawberry', 'jelly', 'felttasted', 'fake', 'artificial']",Product Improvement
Chobani Smooth,0.3182,"['increase', 'strawberry', 'flavor', 'little']",Product Improvement
Chobani Original,0.8216,"['like', 'would', 'prefer', 'slightly', 'bit', 'smooth', 'yogurt', 'would', 'prevent', 'buying', 'future', 'great', 'product']",Product Improvement
Chobani Smooth,0.5327,"['im', 'sure', 'would', 'change', 'anything', 'would', 'like', 'good', 'greek']",Product Improvement
Chobani Original,0.4215,"['would', 'nice', 'strawberry', 'piece']",Product Improvement
Chobani Smooth,0.4215,"['would', 'like', 'see', 'piece', 'fruit', 'yogurt', 'seem', 'sort', 'skimpy', 'number', 'fruit', 'piece']",Product Improvement
Chobani Original,-0.4717,"['would', 'rather', 'strawberry', 'mixed', 'yogurt', 'fruit', 'bottom', 'dont', 'like', 'big', 'strawberry', 'piece', 'fruit', 'bottom', 'firm', 'fresh', 'taste']",Product Improvement
Chobani Smooth,0.7845,"['would', 'love', 'see', 'fruit', 'chunk', 'add', 'would', 'help', 'bring', 'flavor', 'enhance', 'even']",Product Improvement
Chobani Original,0.1611,"['didnt', 'love', 'chunk', 'like', 'fruit', 'bottom', 'smooth', 'quite', 'bit', 'sugar15g', 'per', 'serve', 'would', 'like']",Product Improvement
Chobani Smooth,0,"['little', 'runny', 'maybe', 'bit', 'thick', 'fruit', 'chunk']",Product Improvement
Chobani Original,0,"['consistency', 'strawberry', 'bottom', 'might', 'little', 'thick']",Product Improvement
Chobani Smooth,0.705,"['would', 'enjoy', 'fruit', 'chunk', 'yogurt', 'everything', 'else', 'like']",Product Improvement
Chobani Original,0,"['always', 'fruit']",Product Improvement
Chobani Smooth,0,"['aftertaste', 'need', 'fruit', 'mixed']",Product Improvement
Chobani Original,0,"['prestirred', 'mix', 'fruit', 'piece', 'yogurt']",Product Improvement
Chobani Smooth,0,['nothing'],Product Improvement
Chobani Original,0,"['real', 'fruit']",Product Improvement
Chobani Smooth,0.3612,"['would', 'like', 'little', 'bit', 'fruit', 'flavor', 'piece', 'fruit']",Product Improvement
Chobani Original,-0.4086,"['tend', 'like', 'fruit', 'bottom', 'yogurt', 'yogurt', 'sway', 'like', 'good', 'wish', 'way', 'yogurt', 'maker', 'fresh', 'fruit', 'even', 'fresher', 'seem', 'jam', 'yogurt', 'probably', 'wouldnt', 'keep', 'well', 'enough', 'case', 'didnt', 'care', 'strawberry', 'jam', 'add', 'least', 'enough', 'make', 'want', 'purchase']",Product Improvement
Chobani Smooth,0,"['make', 'thicker', 'consistency', 'bit', 'thinsugar', 'content', 'still', 'seem', 'bit', 'high', '25', 'less']",Product Improvement
Chobani Original,0,['nothing'],Product Improvement
Chobani Smooth,0.4033,"['less', 'sweet', 'fruit', 'flavor']",Product Improvement
Chobani Original,0.1967,"['greek', 'yogurt', 'slight', 'aftertaste', 'isnt', 'exactly', 'unpleasant', 'noticeable', 'perhaps', 'unavoidable']",Product Improvement
Chobani Smooth,0,['nan'],Product Improvement
Chobani Original,0,"['stir', 'long', 'time', 'mix']",Product Improvement
Chobani Smooth,0,"['wouldnt', 'change', 'thing']",Product Improvement
Chobani Original,0,"['make', 'sweeter']",Product Improvement
Chobani Smooth,0.3041,"['little', 'watery', 'id', 'like', 'see', 'strawberry']",Product Improvement
Chobani Original,0,"['way', 'make', 'creamy', 'bring', 'little', 'strawberry', 'flavor']",Product Improvement
Chobani Smooth,0,"['little', 'fruit', 'flavor']",Product Improvement
Chobani Original,0.7559,"['give', 'u', 'less', 'yogurt', 'size', 'container', 'look', 'unappealing', 'shrivel', 'yogurt', 'sit', 'whey', 'look', 'spoilt', 'people', 'eat', 'eye', 'would', 'never', 'pay', '155', 'spend', 'money', 'product', 'advertising', 'people', 'arent', 'stupid', 'think', 'container', 'pretty', 'butyou', 'downsize', 'content', 'longer', 'enough', 'make', 'quick', 'breakfast', 'lunch']",Product Improvement
Chobani Smooth,0,['nothing'],Product Improvement
Chobani Original,0,"['seem', 'little', 'thin', 'greek', 'yogurt']",Product Improvement
Chobani Smooth,0,"['add', 'piece', 'strawberry']",Product Improvement
Chobani Original,0,['nothing'],Product Improvement
Chobani Smooth,0.6231,"['consistency', 'thinner', 'prefer', 'package', 'indicate', 'mild', 'yogurt', 'find', 'quite', 'sour', 'like', 'greek', 'style', 'yogurt', 'package', 'state', 'smooth', 'yogurt', 'several', 'small', 'chunk', 'fruit']",Product Improvement
Chobani Original,0.4215,"['would', 'like', 'see', 'actual', 'strawberry', 'piece', 'instead', 'jellylike', 'substance', 'bottom', 'container']",Product Improvement
Chobani Smooth,0.3976,"['first', 'like', 'smooth', 'creamy', 'texture', 'slightly', 'runny', 'would', 'like', 'little', 'consistency', 'second', 'odd', 'aftertaste', 'almost', 'like', 'fake', 'sugar', 'much', 'sugar']",Product Improvement
Chobani Original,-0.296,"['low', 'price']",Product Improvement
Chobani Smooth,0.3612,"['would', 'like', 'little', 'thicker']",Product Improvement
Chobani Original,-0.0076,"['mix', 'yogurt', 'make', 'cup', 'big', 'slightly', 'easy', 'mix', 'also', 'dont', 'mix', 'correctly', 'get', 'bitter', 'taste']",Product Improvement
Chobani Smooth,-0.5423,"['sour', 'horrible', 'taste']",Product Improvement
Chobani Original,0,"['texture', 'little']",Product Improvement
Chobani Smooth,0.3804,"['fresh', 'strawberry', 'piece']",Product Improvement
Chobani Original,0.8137,"['could', 'little', 'less', 'sweet', 'still', 'good', 'little', 'fruit', 'would', 'nice']",Product Improvement
Chobani Smooth,0.3818,"['strong', 'strawberry', 'flavor']",Product Improvement
Chobani Original,0,"['particular', 'product', 'wasnt', 'much', 'would', 'change']",Product Improvement
Chobani Smooth,0,"['flavor', 'find', 'overpower', 'taste', 'sour', 'milk']",Product Improvement
Chobani Original,0,"['fruit', 'bottom']",Product Improvement
Chobani Smooth,0,"['aftertaste', 'lingers', 'little', 'would', 'prefer']",Product Improvement
Chobani Original,0.4657,"['huge', 'fan', 'fruit', 'bottom', 'yogurt', 'maybe', 'blend', 'also', 'maybe', 'bit', 'less', 'sugar', 'still', 'keep', 'sweet', 'tasting']",Product Improvement
Chobani Smooth,0,['nothing'],Product Improvement
Chobani Original,-0.296,"['low', 'price']",Product Improvement
Chobani Smooth,0,"['little', 'perhaps', 'tad', 'strawberry', 'flavor']",Product Improvement
Chobani Original,0,['nothing'],Product Improvement
Chobani Smooth,0.3612,"['bit', 'runnywaterythin', 'would', 'like', 'little', 'bit', 'thicker']",Product Improvement
Chobani Original,-0.3612,"['dont', 'know', 'change', 'initially', 'open', 'container', 'first', 'thing', 'saw', 'water', 'yougart', 'also', 'first', 'appearance', 'mix', 'fuit', 'visually', 'appeal', 'look', 'like', 'jelly', 'thrown', 'yougart', 'container', 'like', 'container', 'half', 'full', 'fill', 'cup', 'atleast', '34', 'way', 'use', 'small', 'container', 'otherwise', 'disappointing', 'waste']",Product Improvement
Chobani Smooth,-0.4215,"['strawberry', 'flavor', 'tad', 'bitter']",Product Improvement
Chobani Original,0,['nothing'],Product Improvement
Chobani Smooth,0,"['little', 'thin']",Product Improvement
Chobani Original,0,['nothing'],Product Improvement
Chobani Smooth,0,"['would', 'make', 'little', 'thicker', 'consistency', 'little', 'runny']",Product Improvement
Chobani Original,0,"['make', 'serve', 'size', 'large', 'price']",Product Improvement
Chobani Smooth,0.4404,"['would', 'change', 'heavy', 'taste', 'yogurt', 'make', 'good', 'would', 'make', 'smooth', 'heavy']",Product Improvement
Chobani Original,0.2263,"['shake', 'product', 'open', 'help', 'mix']",Product Improvement
Chobani Smooth,0,"['add', 'strawberry', 'flavor']",Product Improvement
Chobani Original,0,['nothing'],Product Improvement
Chobani Smooth,0,"['specify', 'amount', 'protein', 'package']",Product Improvement
Chobani Original,0,['nothing'],Product Improvement
Chobani Smooth,-0.5719,"['package', 'hate', 'ridge', 'inside']",Product Improvement
Chobani Original,-0.4023,"['strawberry', 'flavor', 'wasnt', 'strong', 'enough']",Product Improvement
Chobani Smooth,0,['nan'],Product Improvement
Chobani Original,0,['nothing'],Product Improvement
Chobani Smooth,0,"['fruit', 'piece']",Product Improvement
Chobani Original,0,"['appearance', 'strawberry', 'id', 'make', 'look', 'fresher']",Product Improvement
Chobani Smooth,0.4033,"['thicker', 'texture', 'even', 'less', 'sweet', 'strawberry', 'piece']",Product Improvement
Chobani Original,-0.2411,"['big', 'fan', 'fruit', 'bottom', 'style', 'yogurt']",Product Improvement
Chobani Smooth,-0.7068,"['would', 'make', 'tiny', 'bit', 'thick', 'consistency', 'like', 'creamy', 'texture', 'almost', 'slippery', 'favorite', 'yogurt', 'dislike', 'greatly', 'package', 'one', 'big', 'change', 'would', 'package']",Product Improvement
Chobani Original,0,['nothing'],Product Improvement
Chobani Smooth,0,"['possibly', 'add', 'fruit', 'chunk']",Product Improvement
Chobani Original,0.3971,"['less', 'sugar', 'possible', 'im', 'huge', 'fan', 'chunk', 'fruit', 'wish', 'mixed', 'good']",Product Improvement
Chobani Smooth,0,['nothing'],Product Improvement
Chobani Original,0.3182,"['increase', 'size', 'package']",Product Improvement
Chobani Smooth,0,"['add', 'big', 'chunk', 'strawberry']",Product Improvement
Chobani Original,0,"['fruit', 'le', 'sugar', 'little', 'thick']",Product Improvement
Chobani Smooth,0,['nothing'],Product Improvement
Chobani Smooth,0,"['add', 'fruit', 'piece']",Product Improvement
Chobani Smooth,0,['strawberry'],Product Improvement
Chobani Smooth,0,"['strawberry', 'taste']",Product Improvement
Chobani Smooth,-0.296,"['low', 'price']",Product Improvement
Chobani Smooth,-0.2808,"['slight', 'idk', 'chalky', 'taste']",Product Improvement
Chobani Smooth,0,"['color', 'appeal']",Product Improvement
Chobani Smooth,0,"['add', 'strawberry', 'flavor', 'strawberry']",Product Improvement
Chobani Smooth,0,['oth'],Product Improvement
Chobani Smooth,0.4404,"['little', 'bit', 'sweeter', 'without', 'add', 'gram', 'sugar', 'would', 'better']",Product Improvement
Chobani Smooth,0.3321,"['need', 'piece', 'strawberry', 'add', 'flavor', 'well', 'slightly', 'thick', 'consistency']",Product Improvement
Chobani Smooth,0,['nan'],Product Improvement
Chobani Smooth,0.031,"['sweet', 'hop', 'bit', 'yogurt', 'blend', 'id', 'get', 'glob', 'glob', 'berry']",Product Improvement
Chobani Smooth,0,['nothing'],Product Improvement
Chobani Smooth,0,"['add', 'fruit', 'bit', 'inside', 'yogurt', 'really', 'tiny', 'every', 'bit']",Product Improvement
Chobani Smooth,0,"['add', 'bit', 'flavor', 'maybe', 'add', 'strawberry', 'piece']",Product Improvement
Chobani Smooth,0.2732,"['little', 'strawberry', 'flavor', 'andor', 'sweetness', 'lot', 'touch']",Product Improvement
Chobani Smooth,0,['sweeter'],Product Improvement
Chobani Smooth,0,"['type', 'offer', 'mix', 'kindgranola']",Product Improvement
Chobani Smooth,0,"['strawberry', 'flavor']",Product Improvement
Chobani Smooth,0,"['flavor', 'need', 'sweeter', 'semi', 'tart']",Product Improvement
Chobani Smooth,0,['nothing'],Product Improvement
Chobani Smooth,0,"['strawberry', 'chunky']",Product Improvement
Chobani Smooth,0,['strawberry'],Product Improvement
Chobani Smooth,0.4215,"['would', 'nice', 'wasnt', 'much', 'liquid', 'top', 'open', 'kind', 'gross']",Product Improvement
Chobani Smooth,0,"['add', 'fruit', 'piece']",Product Improvement
Chobani Smooth,0.323,"['strawberry', 'flavor', 'could', 'little', 'bit', 'strong']",Product Improvement
